feature,pubchem_bit,permutation_importance_mean,permutation_importance_std
PubchemFP442,442,0.0005456114163920889,0.0004053267027793405
PubchemFP708,708,0.0005325210837484939,5.5515270715699396e-05
PubchemFP335,335,0.0005274234051824145,0.0008080583128584014
PubchemFP362,362,0.0005212175232288229,0.0002586536132663147
PubchemFP465,465,0.0005161187680808755,0.0005296013439208705
PubchemFP575,575,0.0005024733024044936,7.697000821484467e-05
PubchemFP285,285,0.0004978420668537153,0.00022470000345265967
PubchemFP597,597,0.0004957136010148688,0.0005925961535018354
PubchemFP333,333,0.00049299440589049,8.104260336176085e-05
PubchemFP353,353,0.00046763976002783814,0.00021688588069845171
PubchemFP600,600,0.00044822637586187095,0.0007034525981699971
PubchemFP560,560,0.00044517300073363406,0.00018560176107999558
PubchemFP391,391,0.0004419375915847068,0.0011493145914600392
PubchemFP761,761,0.0004248226608682515,0.00015910775390733624
PubchemFP461,461,0.0004168450806872448,0.0003965595750000321
PubchemFP390,390,0.0003834820109440584,0.0009373226149216328
PubchemFP551,551,0.0003738414016499658,0.00021227306645058957
PubchemFP471,471,0.00037212138925841743,0.0010797802432577558
PubchemFP195,195,0.0003703288781792824,1.103128152673358e-05
PubchemFP764,764,0.000366119606415527,9.184719406065182e-05
PubchemFP430,430,0.000364744053770083,7.536201141320063e-05
PubchemFP2,2,0.0003512305391131676,0.004436992662222286
PubchemFP462,462,0.0003492610768090265,3.432935173504545e-05
PubchemFP674,674,0.00034748715733938783,0.00015839977506806134
PubchemFP493,493,0.00032764883365278276,0.0014292044746107885
PubchemFP623,623,0.00032419227210876976,0.001002970317191665
PubchemFP577,577,0.00031432398138199203,0.0030672392106849845
PubchemFP305,305,0.0003085257346129744,0.0016209880244337897
PubchemFP443,443,0.00030736407757968597,0.0005472154771518675
PubchemFP585,585,0.00030710452994127114,0.00027329958517975135
PubchemFP534,534,0.0003037839547007204,4.3598049176526077e-05
PubchemFP659,659,0.0002985357662078192,0.0005118343381655028
PubchemFP505,505,0.00029021375494558965,0.00021005232365403474
PubchemFP342,342,0.000288269170174138,0.00033622830630245377
